
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-10-11 16:07:39 / .......................................... ~ 500.78ms
  2025-10-11 16:07:50 /login ....................................... ~ 0.18ms
  2025-10-11 16:07:53 /login ..................................... ~ 500.52ms
  2025-10-11 16:07:53 /dashboard ................................... ~ 0.06ms
  2025-10-11 16:07:57 /products .................................... ~ 0.24ms
  2025-10-11 16:07:59 /carts ....................................... ~ 0.18ms
  2025-10-11 16:07:59 /carts ....................................... ~ 0.06ms
  2025-10-11 16:08:00 /cart-items/17/edit .......................... ~ 0.12ms
  2025-10-11 16:08:04 /cart-items/17 ............................... ~ 0.12ms
  2025-10-11 16:08:04 /carts ....................................... ~ 0.05ms
  2025-10-11 16:08:05 /checkout ........................................ ~ 3s
  2025-10-11 16:08:23 /checkout/success ................................ ~ 3s
  2025-10-11 16:08:28 /products .................................... ~ 0.17ms
